"","X","asin","title","Brand","Firm","variationCSV","suction","Wok_1charge","db","pa","minutes","mins","hour","hours","mah","min","h"
"548",2411,"B08YD4WNLB","eufy by anker, robovac g10 hybrid, robotic vacuum cleaner, smart dynamic navigation, 2-in-1 sweep and mop, wi-fi, super-slim, 2000pa strong suction, quiet, self-charging, for hard floors only","g10hy","eufy","B07RY88BWM,B08YD4WNLB",2000,80,NA,"2000;2000",NA,NA,NA,NA,NA,"","12;10;2;10;10"
"549",127,"B081J646XW","eufy boostiq robovac 11s max, robot vacuum cleaner, super-thin, 2000pa super-strong suction, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile carpets,black(renewed)","11smax","eufy","B081J646XW,B089NB78TX",2000,100,NA,"2000;2000","100",NA,NA,NA,NA,"100","12"
"550",201,"B089NB78TX","eufy boostiq robovac 11s max, robot vacuum cleaner, super-thin, 2000pa super-strong suction, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile carpets, white (renewed)","11smax","eufy","B081J646XW,B089NB78TX",2000,100,NA,"2000;2000","100",NA,NA,NA,NA,"100","12"
"551",1655,"B07RHZ6CVX","eufy by anker, robovac g30, robot vacuum with smart dynamic navigation 2.0, 2000 pa strong suction, wi-fi, compatible with alexa, carpets and hard floors, ideal for pet owners","g30","eufy","B09LGZ6HV7,B07RHZ6CVX",2000,100,NA,"2000;2000;2000",NA,NA,NA,NA,NA,"","12;2;0;30"
"552",898,"B08MF8N8SD","eufy by anker, robovac g30 hybrid, robot vacuum with smart dynamic navigation 2.0, 2-in-1 vacuum and mop, 2000 pa suction, wi-fi, boundary strips, ideal for pet owners","g30","eufy","B09LHBZ6KB,B08MF8N8SD",2000,100,NA,"2000;2000",NA,NA,NA,NA,NA,"","12;2;4;2;4;5;30;30;30;2"
"553",81,"B07RK3BGCM","eufy by anker, robovac g30 edge, robot vacuum with smart dynamic navigation 2.0, 2000 pa suction, wi-fi, boundary strips, for carpets and hard floors, ideal for pet owners","g30","eufy","None",2000,100,NA,"2000;2000;2000",NA,NA,NA,NA,NA,NA,"12;2;4;2;4;5"
"554",106,"B07X53V3V6","eufy by anker, boostiq robovac 30c max, robot vacuum cleaner, wi-fi, super-thin, 2000pa suction, boundary strips included, quiet, self-charging, cleans hard floors to medium-pile carpets","30cmax","eufy","None",2000,100,NA,"2000;2000;2000","100",NA,NA,NA,NA,"100","12"
"555",125,"B081GGBQ93","eufy boostiq robovac 15c max, wi-fi connected, super-thin, 2000pa suction, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile carpets, black (renewed)","15cmax","eufy","None",2000,100,NA,"2000;2000;2000","100;100","100;60;40",NA,NA,NA,"100;100;100;60;40","12;2;4;2;4;5"
"556",252,"B08JKFCRJL","eufy by anker, robovac g30, robot vacuum with smart dynamic navigation 2.0, 2000pa strong suction, wi-fi, compatible with alexa, carpets and hard floors (renewed)","g30","eufy","None",2000,100,NA,"2000;2000;2000;2;0",NA,NA,NA,NA,NA,"","12;2;0;30"
"557",519,"B09LQWYH89","eufy by anker, robovac x8 hybrid, robot vacuum cleaner<U+4E28>eufy robovac hard floor cleaning solution (2 bottles)","x8hy","eufy","None",2000,180,NA,"2000;2000","140;180;140;180",NA,NA,NA,NA,"140;180;140;180","8;2;0;2;0"
"558",6141,"B083BDDR7W","eufy boostiq robovac 30c max, wi-fi, super-thin, 2000pa suction, boundary strips included, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile, black (renewed)","30cmax","eufy","None",2000,100,NA,"2000;2000",NA,NA,NA,NA,NA,"","3;3"
