,asin,com,market_ids,variation,listed_date,salesRANK,prices,ave_rating,color,itemLength,itemWidth,itemHeight,itemWeight,Fra_income,sales,Brand,Firm,suction,isEligibleForSuperSaverShipping,Wok_1charge,year,pro_age
39,B01LYCLS24,2019-12B01LYCLS24,2019-12,None,30/09/2016 00:00,21857,209.99,4.5,Black,330,326,78,3021,74401790,1305,11,eufy,1000,FALSE,90,2019,3
40,B01LYCLS24,2019-11B01LYCLS24,2019-11,None,30/09/2016 00:00,12169,199.99,4.14,Black,330,326,78,3021,74174170,2103,11,eufy,1000,FALSE,90,2019,3
41,B01LYCLS24,2018-10B01LYCLS24,2018-10,None,30/09/2016 00:00,11554,260.5,4.307692308,Black,330,326,78,3021,73428000,2196,11,eufy,1000,FALSE,90,2018,4
42,B01LYCLS24,2019-03B01LYCLS24,2019-03,None,30/09/2016 00:00,8170,179.99,4.133333333,Black,330,326,78,3021,73269680,2797,11,eufy,1000,FALSE,90,2019,3
43,B01LYCLS24,2018-03B01LYCLS24,2018-03,None,30/09/2016 00:00,5590,249.99,4.266666667,Black,330,326,78,3021,71922000,3432,11,eufy,1000,FALSE,90,2018,4
44,B01LYCLS24,2017-01B01LYCLS24,2017-01,None,30/09/2016 00:00,5169,219.99,4.65,Black,330,326,78,3021,70567200,3674,11,eufy,1000,FALSE,90,2017,5
45,B01LYCLS24,2018-01B01LYCLS24,2018-01,None,30/09/2016 00:00,4973,191.49,4.242857143,Black,330,326,78,3021,72162000,3786,11,eufy,1000,FALSE,90,2018,4
46,B01LYCLS24,2017-12B01LYCLS24,2017-12,None,30/09/2016 00:00,2696,259.99,4.35,Black,330,326,78,3021,71434440,5618,11,eufy,1000,FALSE,90,2017,5
47,B01LYCLS24,2017-02B01LYCLS24,2017-02,None,30/09/2016 00:00,1301,219.99,4.65,Black,330,326,78,3021,70709760,8696,11,eufy,1000,FALSE,90,2017,5
48,B01LYCLS24,2016-12B01LYCLS24,2016-12,None,30/09/2016 00:00,299,175.99,4.46,Black,330,326,78,3021,68955360,18259,11,eufy,1000,FALSE,90,2016,6
49,B01LYCLS24,2017-11B01LYCLS24,2017-11,None,30/09/2016 00:00,239,197.99,4.34,Black,330,326,78,3021,71404740,19944,11,eufy,1000,FALSE,90,2017,5
50,B01LYCLS24,2016-11B01LYCLS24,2016-11,None,30/09/2016 00:00,90,219.99,4.55,Black,330,326,78,3021,69054300,29362,11,eufy,1000,FALSE,90,2016,6
51,B01LYCLS24,2017-04B01LYCLS24,2017-04,None,30/09/2016 00:00,50,90.5,4.55,Black,330,326,78,3021,70751340,35648,11,eufy,1000,FALSE,90,2017,5
52,B01LYCLS24,2017-08B01LYCLS24,2017-08,None,30/09/2016 00:00,37,10.54,4.45,Black,330,326,78,3021,70757280,42855,11,eufy,1000,FALSE,90,2017,5
53,B01LYCLS24,2017-03B01LYCLS24,2017-03,None,30/09/2016 00:00,4,99.99,4.633333333,Black,330,326,78,3021,70424640,70951,11,eufy,1000,FALSE,90,2017,5
54,B01LYCLS24,2017-05B01LYCLS24,2017-05,None,30/09/2016 00:00,2,149.59,4.5,Black,330,326,78,3021,70804800,75328,11,eufy,1000,FALSE,90,2017,5
55,B01MQIGKMM,2017-01B01MQIGKMM,2017-01,None,14/11/2016 00:00,55719,109.99,4.45,White,74,279,279,1588,70567200,573,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2017,5
56,B01MQIGKMM,2020-03B01MQIGKMM,2020-03,None,14/11/2016 00:00,41695,79.97,3.45,White,74,279,279,1588,75975680,751,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2020,2
57,B01MQIGKMM,2020-02B01MQIGKMM,2020-02,None,14/11/2016 00:00,34322,85.88,3.555555556,White,74,279,279,1588,75361600,895,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2020,2
58,B01MQIGKMM,2019-11B01MQIGKMM,2019-11,None,14/11/2016 00:00,30118,77.39,3.570769231,White,74,279,279,1588,74174170,991,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2019,3
59,B01MQIGKMM,2016-12B01MQIGKMM,2016-12,None,14/11/2016 00:00,6063,99.99,5,White,74,279,279,1588,68955360,3161,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2016,6
60,B01MQIGKMM,2019-09B01MQIGKMM,2019-09,None,14/11/2016 00:00,23723,64.95,3.433333333,White,74,279,279,1588,73754870,1218,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2019,3
61,B01MQIGKMM,2019-07B01MQIGKMM,2019-07,None,14/11/2016 00:00,4582,77.39,3.7,White,74,279,279,1588,73275670,4010,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2019,3
62,B01MQIGKMM,2017-08B01MQIGKMM,2017-08,None,14/11/2016 00:00,16222,99.99,4.15,White,74,279,279,1588,70757280,1663,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2017,5
63,B01MQIGKMM,2017-05B01MQIGKMM,2017-05,None,14/11/2016 00:00,15497,99.99,4.575,White,74,279,279,1588,70804800,1726,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2017,5
64,B01MQIGKMM,2018-08B01MQIGKMM,2018-08,None,14/11/2016 00:00,15114,89.99,2.8,White,74,279,279,1588,72786000,1759,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2018,4
65,B01MQIGKMM,2019-12B01MQIGKMM,2019-12,None,14/11/2016 00:00,14865,77.39,3.593902439,White,74,279,279,1588,74401790,1781,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2019,3
66,B01MQIGKMM,2017-02B01MQIGKMM,2017-02,None,14/11/2016 00:00,91239,109.99,4.466666667,White,74,279,279,1588,70709760,289,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2017,5
67,B01MQIGKMM,2019-08B01MQIGKMM,2019-08,None,14/11/2016 00:00,12554,85.99,3.5,White,74,279,279,1588,73521260,2044,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2019,3
68,B01MQIGKMM,2019-02B01MQIGKMM,2019-02,None,14/11/2016 00:00,2359,84.99,3.7,White,74,279,279,1588,73191810,6163,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2019,3
69,B01MQIGKMM,2017-09B01MQIGKMM,2017-09,None,14/11/2016 00:00,11307,99.99,4.05,White,74,279,279,1588,71072100,2234,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2017,5
70,B01MQIGKMM,2017-06B01MQIGKMM,2017-06,None,14/11/2016 00:00,10545,99.99,4.471428571,White,74,279,279,1588,70317720,2350,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2017,5
