com,market_ids,asin,variation,listed_date,salesRANK,prices,ave_rating,color,itemLength,itemWidth,itemHeight,itemWeight,Fra_income,sales
2019-12B07MQR7LVX,2019-12,B07MQR7LVX,None,10/02/2019 00:00,2436886,399.98,3.95,Black,330,330,76,2699,74401790,1
2020-01B07KKFBBV4,2020-01,B07KKFBBV4,None,14/11/2018 00:00,130293,228.3,4.4,Black,325,325,72,2699,75550080,1
2019-11B081N21MPM,2019-11,B081N21MPM,"B0823FZRLL,B081N21MPM",19/09/2019 00:00,83527,209.99,4.3,Black,330,330,76,2699,74174170,350
2020-03B07KKFBBV4,2020-03,B07KKFBBV4,None,14/11/2018 00:00,76163,239.47,4.366666667,Black,325,325,72,2699,75975680,410
2020-02B07KKFBBV4,2020-02,B07KKFBBV4,None,14/11/2018 00:00,54890,199.99,4.342857143,Black,325,325,72,2699,75361600,580
2020-02B07RY88BWM,2020-02,B07RY88BWM,"B07RY88BWM,B08YD4WNLB",08/01/2020 00:00,43097,209.99,3.55,Black,325,325,72,2699,75361600,724
2020-03B07RY88BWM,2020-03,B07RY88BWM,"B07RY88BWM,B08YD4WNLB",08/01/2020 00:00,31420,209.99,4.04,Black,325,325,72,2699,75975680,952
2020-03B07Y31C6JJ,2020-03,B07Y31C6JJ,None,16/10/2019 00:00,30452,124.94,4.2,Black,330,330,76,2699,75975680,979
2019-12B07Y31C6JJ,2019-12,B07Y31C6JJ,None,16/10/2019 00:00,21097,169.99,4.284615385,Black,330,330,76,2699,74401790,1348
2019-11B07Y31C6JJ,2019-11,B07Y31C6JJ,None,16/10/2019 00:00,16374,146.99,4.7,Black,330,330,76,2699,74174170,1650
2019-07B07KKFBBV4,2019-07,B07KKFBBV4,None,14/11/2018 00:00,12198,290.99,4.366666667,Black,325,325,72,2699,73275670,2098
2020-01B07Y31C6JJ,2020-01,B07Y31C6JJ,None,16/10/2019 00:00,7191,169.99,4.386956522,Black,330,330,76,2699,75550080,2892
2019-04B07KKFBBV4,2019-04,B07KKFBBV4,None,14/11/2018 00:00,5373,299.99,4.25,Black,325,325,72,2699,73389480,3557
2019-12B07KKFBBV4,2019-12,B07KKFBBV4,None,14/11/2018 00:00,4712,179,4.65,Black,325,325,72,2699,74401790,3935
2020-02B07X53V3V6,2020-02,B07X53V3V6,None,27/08/2019 00:00,3963,297.48,4.45,Black,325,325,72,2699,75361600,4365
2019-12B07X53V3V6,2019-12,B07X53V3V6,None,27/08/2019 00:00,3598,319.99,4.35,Black,325,325,72,2699,74401790,4574
2019-09B07X53V3V6,2019-09,B07X53V3V6,None,27/08/2019 00:00,3013,229.99,4.6,Black,325,325,72,2699,73754870,5105
