asin,listed_date,isEligibleForSuperSaverShipping,Brand,Firm,market_ids,prices,ave_rating,title,variationCSV,suction,Wok_1charge,sales,itemWidth,itemHeight,itemWeight
B07P63BMVP,28/02/2019 00:00,FALSE,25t,eufy,R20Q3,189.99,4.4,"eufy by anker, boostiq robovac 15t, robot vacuum cleaner, super-thin, 1500pa strong suction robotic vacuum, touch-control panel, quiet, self-charging, cleans hard floors to medium-pile carpets",None,1500,100,1,325,74,2331
B07P63BMVP,28/02/2019 00:00,FALSE,25t,eufy,R20Q2,196.3233333,4.3,"eufy by anker, boostiq robovac 15t, robot vacuum cleaner, super-thin, 1500pa strong suction robotic vacuum, touch-control panel, quiet, self-charging, cleans hard floors to medium-pile carpets",None,1500,100,1,325,74,2331
B07P63BMVP,28/02/2019 00:00,FALSE,25t,eufy,R20Q1,196.95,4.45,"eufy by anker, boostiq robovac 15t, robot vacuum cleaner, super-thin, 1500pa strong suction robotic vacuum, touch-control panel, quiet, self-charging, cleans hard floors to medium-pile carpets",None,1500,100,1,325,74,2331
B07P63BMVP,28/02/2019 00:00,FALSE,25t,eufy,R21Q4,268.9781667,4.2,"eufy by anker, boostiq robovac 15t, robot vacuum cleaner, super-thin, 1500pa strong suction robotic vacuum, touch-control panel, quiet, self-charging, cleans hard floors to medium-pile carpets",None,1500,100,1,325,74,2331
B07P63BMVP,28/02/2019 00:00,FALSE,25t,eufy,R20Q4,252.556875,4.34,"eufy by anker, boostiq robovac 15t, robot vacuum cleaner, super-thin, 1500pa strong suction robotic vacuum, touch-control panel, quiet, self-charging, cleans hard floors to medium-pile carpets",None,1500,100,1053,325,74,2331
B07P63BMVP,28/02/2019 00:00,FALSE,25t,eufy,R21Q1,264.349469,4.35,"eufy by anker, boostiq robovac 15t, robot vacuum cleaner, super-thin, 1500pa strong suction robotic vacuum, touch-control panel, quiet, self-charging, cleans hard floors to medium-pile carpets",None,1500,100,1,325,74,2331
B07D75MVX9,04/04/2018 00:00,FALSE,30c,eufy,R22Q1,236.4185714,4.4,"eufy by anker, boostiq robovac 30c, robot vacuum cleaner, wi-fi, super-thin, 1500pa suction, boundary strips included, quiet, self-charging robotic vacuum, cleans hard floors to medium-pile carpets","B07D75MVX9,B081T2LS87",1500,100,31248,325,72,2676
B07D75MVX9,04/04/2018 00:00,FALSE,30c,eufy,R21Q3,216.6931148,4.447058824,"eufy by anker, boostiq robovac 30c, robot vacuum cleaner, wi-fi, super-thin, 1500pa suction, boundary strips included, quiet, self-charging robotic vacuum, cleans hard floors to medium-pile carpets","B07D75MVX9,B081T2LS87",1500,100,4741,325,72,2676
B07D75MVX9,04/04/2018 00:00,FALSE,30c,eufy,R20Q1,246.5103704,4.4,"eufy by anker, boostiq robovac 30c, robot vacuum cleaner, wi-fi, super-thin, 1500pa suction, boundary strips included, quiet, self-charging robotic vacuum, cleans hard floors to medium-pile carpets","B07D75MVX9,B081T2LS87",1500,100,52833,325,72,2676
B07D75MVX9,04/04/2018 00:00,FALSE,30c,eufy,R21Q1,249.8741667,4.452941176,"eufy by anker, boostiq robovac 30c, robot vacuum cleaner, wi-fi, super-thin, 1500pa suction, boundary strips included, quiet, self-charging robotic vacuum, cleans hard floors to medium-pile carpets","B07D75MVX9,B081T2LS87",1500,100,6192,325,72,2676
